title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
A Nightmare on Elm Street,Horror,en,26.489,New Line Cinema-Warner Bros. Pictures-Platinum Dunes,2010-04-30,35000000.0,115664037.0,95.0,Released,5.5,2374.0,Jackie Earle Haley
Near Dark,Horror,en,26.484,DEG-F/M-Near Dark Joint Venture,1987-10-02,5000000.0,3400000.0,94.0,Released,6.9,734.0,Adrian Pasdar
Unbroken,Drama,en,26.484,Legendary Pictures-Jolie Pas-3 Arts Entertainment,2014-12-25,65000000.0,163442937.0,137.0,Released,7.4,3749.0,Jack O'Connell
Love,Drama,fr,26.458,Wild Bunch-Les Cinémas de la Zone-RT Features-Rectangle Productions-SCOPE Pictures,2015-07-06,3000000.0,249083.0,134.0,Released,6.4,2409.0,Karl Glusman
Upgrade,Action,en,26.444,Goalpost Pictures-Automatik Entertainment-Blumhouse Productions-Nervous Tick-Film Victoria,2018-05-31,5000000.0,16706680.0,100.0,Released,7.5,3700.0,Logan Marshall
Hostel,Horror,en,26.432,International Production Company-Raw Nerve-Next Entertainment-Hostel LLC,2006-01-06,4800000.0,81979826.0,94.0,Released,5.945,3406.0,Jay Hernandez
Black Christmas,Horror,en,26.427,Dimension Films-2929 Productions-Hard Eight Pictures-Adelstein-Parouse Productions-Hoban Segal Productions-Victor Solnicki Productions-Movie Central Network-Corus Studios,2006-12-15,9000000.0,21510851.0,92.0,Released,5.167,528.0,Katie Cassidy
Marriage Story,Drama,en,26.409,Heyday Films,2019-09-28,18000000.0,2300000.0,137.0,Released,7.758,6203.0,Adam Driver
What's Eating Gilbert Grape,Romance,en,26.397,Paramount,1993-12-17,11000000.0,10032765.0,118.0,Released,7.669,3391.0,Johnny Depp
End of Watch,Crime,en,26.389,EFO Films-Exclusive Media-Hedge Fund Film Partners-Crave Films-Knightsbridge Entertainment-Le Grisbi Productions-5150 Action,2012-09-20,7000000.0,48126384.0,109.0,Released,7.32,2764.0,Jake Gyllenhaal
Clerks,Comedy,en,26.379,View Askew Productions,1994-10-19,27575.0,3151130.0,92.0,Released,7.4,2306.0,Brian O'Halloran
Every Day,Romance,en,26.368,FilmWave-Likely Story-Silver Reel,2018-02-22,4900000.0,10421847.0,97.0,Released,7.23,2119.0,Angourie Rice
The Ugly Truth,Comedy,en,26.367,Lakeshore Entertainment-Relativity Media,2009-07-24,38000000.0,321682600.0,96.0,Released,6.494,3176.0,Katherine Heigl
Four Brothers,Action,en,26.353,Paramount-Di Bonaventura Pictures,2005-08-11,45000000.0,92374674.0,109.0,Released,6.7,1787.0,Mark Wahlberg
Notting Hill,Romance,en,26.347,Notting Hill Pictures-Bookshop Productions-PolyGram Filmed Entertainment-Working Title Films-Universal Pictures,1999-05-21,42000000.0,363889678.0,124.0,Released,7.261,5323.0,Julia Roberts
Tremors,Horror,en,26.309,Universal Pictures-No Frills Film Production-Wilson-Maddock Production,1990-01-19,11000000.0,48572000.0,96.0,Released,6.8,2714.0,Kevin Bacon
Lock Up,Action,en,26.303,TriStar Pictures-Gordon Company-White Eagle-Carolco Pictures,1989-08-04,24000000.0,22099847.0,115.0,Released,6.778,989.0,Sylvester Stallone
Kiss the Girls,Thriller,en,26.301,Paramount-Rysher Entertainment-David Brown Productions,1997-09-29,27000000.0,60527873.0,115.0,Released,6.5,1394.0,Morgan Freeman
Return to Never Land,Adventure,en,26.281,Disney Television Animation-Walt Disney Pictures,2002-02-14,20000000.0,109862682.0,72.0,Released,6.484,2190.0,Harriet Owen
[REC]³ Genesis,Horror,es,26.276,Filmax,2012-03-30,6400000.0,11019975.0,80.0,Released,5.2,1287.0,Leticia Dolera
Species,Science Fiction,en,26.271,Metro-Goldwyn-Mayer,1995-07-07,35000000.0,113374103.0,108.0,Released,5.9,1355.0,Natasha Henstridge
Misery,Drama,en,26.27,Castle Rock Entertainment-Nelson Entertainment,1990-11-30,20000000.0,61276872.0,107.0,Released,7.752,3923.0,James Caan
Isle of Dogs,Adventure,en,26.248,Studio Babelsberg-American Empirical Pictures-Indian Paintbrush-Scott Rudin Productions,2018-03-23,62770198.0,64337744.0,101.0,Released,7.862,4199.0,Bryan Cranston
Ouija: Origin of Evil,Horror,en,26.247,Universal Pictures-Platinum Dunes-Hasbro-Blumhouse Productions-Allspark Pictures,2016-10-20,9000000.0,81705746.0,99.0,Released,6.1,2187.0,Elizabeth Reaser
Coherence,Thriller,en,26.245,Bellanova Films-Ugly Duckling Films,2013-09-19,50000.0,139745.0,89.0,Released,7.237,2619.0,Emily Baldoni
The Fugitive,Action,en,26.223,Warner Bros. Pictures,1993-08-06,44000000.0,368875760.0,131.0,Released,7.464,4057.0,Harrison Ford
The Messenger: The Story of Joan of Arc,Adventure,en,26.201,Columbia Pictures-Gaumont-Okko Production,1999-10-27,85000000.0,66976317.0,158.0,Released,6.357,1238.0,Milla Jovovich
Silver Bullet,Horror,en,26.2,International Film Corporation (II)-Famous Films (II)-Dino De Laurentiis Company-Paramount,1985-10-10,7000000.0,12400000.0,95.0,Released,6.6,478.0,Gary Busey
RoboCop 2,Action,en,26.192,Orion Pictures,1990-06-22,35000000.0,45681173.0,117.0,Released,5.9,1641.0,Peter Weller
The Phantom of the Opera,Thriller,en,26.18,Warner Bros. Pictures-Odyssey Entertainment-Scion Films-The Really Useful Group,2004-12-08,70000000.0,154700000.0,143.0,Released,7.3,1473.0,Gerard Butler
The Unborn,Horror,en,26.166,Universal Pictures-Rogue Pictures-Phantom Four-Platinum Dunes-Relativity Media-Focus Features,2009-01-09,16000000.0,76514050.0,87.0,Released,5.2,1217.0,Odette Annable
If I Stay,Drama,en,26.156,New Line Cinema-Metro-Goldwyn-Mayer-Di Novi Pictures,2014-08-21,11000000.0,78274843.0,106.0,Released,7.4,3935.0,Chloë Grace Moretz
The Skin I Live In,Drama,es,26.138,El Deseo,2011-08-17,13000000.0,33750478.0,120.0,Released,7.5,3726.0,Antonio Banderas
The Ninth Gate,Mystery,en,26.123,R.P. Productions-Orly Films-Bac Films-Kino Visión-Origen Producciones Cinematograficas-Vía Digital-Canal+-TF1 Films Production,1999-08-25,38000000.0,58401898.0,133.0,Released,6.452,2551.0,Johnny Depp
Diary of a Wimpy Kid: The Long Haul,Comedy,en,26.093,20th Century Fox-Color Force-TSG Entertainment,2017-05-19,22000000.0,40120144.0,91.0,Released,5.3,391.0,Jason Ian Drucker
Us,Horror,en,26.079,Universal Pictures-Blumhouse Productions-QC Entertainment-Monkeypaw Productions,2019-03-14,20000000.0,256067149.0,116.0,Released,6.973,6430.0,Lupita Nyong'o
The Ant Bully,Fantasy,en,26.075,DNA Productions-Playtone-Legendary Pictures-Warner Bros. Pictures,2006-07-28,50000000.0,55181129.0,88.0,Released,5.704,1244.0,Julia Roberts
For Your Eyes Only,Adventure,en,26.065,United Artists-Eon Productions-Danjaq,1981-06-24,28000000.0,187412802.0,128.0,Released,6.493,1556.0,Roger Moore
Wolf Warrior 2,War,zh,26.062,Beijing Century Media Culture-Spring Era Film Company-Beijing Dongfang International Cultural Communications Company-Chao Feng Pictures-Orange Image,2017-07-27,29700000.0,870322670.0,124.0,Released,6.6,216.0,Wu Jing
The Time Machine,Science Fiction,en,26.057,DreamWorks Pictures-Warner Bros. Pictures,2002-03-04,80000000.0,123729176.0,96.0,Released,6.224,2074.0,Guy Pearce
Manchester by the Sea,Drama,en,26.048,Pearl Street Films-K Period Media-B Story-The Affleck/Middleton Project-The Media Farm-Amazon Studios-Big Indie Pictures-CMP Entertainment-OddLot Entertainment,2016-11-18,9000000.0,78988148.0,138.0,Released,7.544,5548.0,Casey Affleck
The Social Network,Drama,en,26.033,Columbia Pictures-Relativity Media-Scott Rudin Productions-Michael De Luca Productions-Trigger Street Productions,2010-10-01,40000000.0,224920315.0,121.0,Released,7.346,10685.0,Jesse Eisenberg
Sympathy for Mr. Vengeance,Action,ko,26.025,CJ Entertainment-Studio Box,2002-03-29,4000000.0,1954937.0,129.0,Released,7.5,1311.0,Song Kang
The 40 Year Old Virgin,Comedy,en,26.021,Universal Pictures-Apatow Productions,2005-08-11,26000000.0,177378645.0,116.0,Released,6.4,5946.0,Steve Carell
Glory,Drama,en,26.017,Freddie Fields Productions-TriStar Pictures,1989-12-15,18000000.0,26828365.0,122.0,Released,7.5,1328.0,Matthew Broderick
Before I Go to Sleep,Mystery,en,26.014,StudioCanal-Millennium Films-Scott Free Productions-Film i Väst-Filmgate Films-Clarius Entertainment,2014-09-03,22000000.0,15447154.0,92.0,Released,6.488,1786.0,Nicole Kidman
After Earth,Science Fiction,en,26.002,Columbia Pictures-Overbrook Entertainment-Blinding Edge Pictures,2013-05-30,130000000.0,243843127.0,100.0,Released,5.2,6249.0,Jaden Smith
Million Dollar Arm,Drama,en,25.995,Walt Disney Pictures-Roth Films-Mayhem Pictures,2014-05-09,25000000.0,38307627.0,124.0,Released,6.7,595.0,Jon Hamm
Double Impact,Thriller,en,25.985,Columbia Pictures-Stone Group Pictures-Vision International,1991-07-31,15000000.0,30102717.0,110.0,Released,6.031,835.0,Jean
Thir13en Ghosts,Horror,en,25.984,Columbia Pictures-Dark Castle Entertainment-13 Ghosts Productions Canada Inc.,2001-10-26,42000000.0,68467960.0,91.0,Released,6.2,1745.0,Tony Shalhoub
Jack and Jill,Comedy,en,25.984,Broken Road Productions-Columbia Pictures-Happy Madison Productions,2011-11-11,79000000.0,149700000.0,91.0,Released,4.359,2032.0,Adam Sandler
Epic,Animation,en,25.967,20th Century Fox-Blue Sky Studios-20th Century Fox Animation,2013-05-15,100000000.0,268426634.0,102.0,Released,6.5,2438.0,Colin Farrell
Priest,Horror,en,25.942,Screen Gems-Stars Road Entertainment-Buckaroo Entertainment-Michael De Luca Productions-TOKYOPOP,2011-05-05,60000000.0,78309131.0,87.0,Released,5.7,1951.0,Paul Bettany
Judge Dredd,Science Fiction,en,25.938,Cinergi Pictures Entertainment-Hollywood Pictures,1995-06-30,90000000.0,113493481.0,96.0,Released,5.8,2082.0,Sylvester Stallone
Life As We Know It,Comedy,en,25.935,Josephson Entertainment-Gold Circle Films,2010-10-02,38000000.0,105734416.0,114.0,Released,6.9,2872.0,Josh Duhamel
Remember Me,Drama,en,25.921,Summit Entertainment,2010-04-07,16000000.0,56032889.0,113.0,Released,7.1,3264.0,Robert Pattinson
See How They Run,Mystery,en,25.912,Searchlight Pictures-DJ Films-TSG Entertainment,2022-09-09,40000000.0,21921551.0,98.0,Released,6.487,678.0,Sam Rockwell
Volcano,Science Fiction,en,25.904,20th Century Fox-Fox 2000 Pictures-Donner/Shuler-Donner Productions,1997-04-25,90000000.0,122823468.0,104.0,Released,5.9,1249.0,Tommy Lee Jones
Dreamcatcher,Drama,en,25.903,Kasdan Pictures-Village Roadshow Pictures-Castle Rock Entertainment-NPV Entertainment-WV Films II,2003-03-21,68000000.0,75700000.0,136.0,Released,5.6,1538.0,Morgan Freeman
Face/Off,Action,en,25.903,Krane Entertainment-Paramount-Permut Presentations-WCG Entertainment Productions-Touchstone Pictures-Douglas/Reuther Productions,1997-06-27,80000000.0,245676146.0,138.0,Released,7.0,4554.0,John Travolta
Eden Lake,Horror,en,25.884,Aramid Entertainment Fund-Rollercoaster Films,2008-09-12,12850990.0,3984669.0,91.0,Released,6.8,1434.0,Kelly Reilly
Blackhat,Crime,en,25.878,Universal Pictures-Forward Pass-Legendary Pictures,2015-01-13,70000000.0,17752940.0,133.0,Released,5.5,1801.0,Chris Hemsworth
"I, Tonya",Drama,en,25.872,LuckyChap Entertainment-Clubhouse Pictures,2017-12-08,11000000.0,53939297.0,120.0,Released,7.513,5145.0,Margot Robbie
Unforgiven,Western,en,25.871,Warner Bros. Pictures-Malpaso Productions,1992-08-07,14400000.0,159157447.0,130.0,Released,7.9,3732.0,Clint Eastwood
A Cinderella Story,Comedy,en,25.863,Warner Bros. Pictures-Gaylord Films-Dylan Sellers Productions-Clifford Werber Productions,2004-07-10,19000000.0,70067909.0,95.0,Released,6.514,2846.0,Hilary Duff
Tower Heist,Action,en,25.853,Universal Pictures-Image Entertainment-Relativity Media-Rat Entertainment,2011-11-02,75000000.0,152930623.0,104.0,Released,6.1,2602.0,Ben Stiller
Gravity,Science Fiction,en,25.848,Esperanto Filmoj-Warner Bros. Pictures-Heyday Films,2013-10-03,105000000.0,723192705.0,91.0,Released,7.2,14727.0,Sandra Bullock
Taking Lives,Crime,en,25.834,Village Roadshow Pictures-Atmosphere Entertainment MM-Warner Bros. Pictures,2004-03-19,45000000.0,65470529.0,103.0,Released,6.375,1483.0,Angelina Jolie
Secretary,Comedy,en,25.815,Slough Pond-double A Films-TwoPoundBag Productions,2002-09-20,4000000.0,9304609.0,104.0,Released,6.8,1330.0,Maggie Gyllenhaal
"Three Billboards Outside Ebbing, Missouri",Crime,en,25.796,Blueprint Pictures-Cutting Edge Group-Fox Searchlight Pictures-Film4 Productions,2017-12-01,15000000.0,160192031.0,115.0,Released,8.1,9053.0,Frances McDormand
Heaven Is for Real,Drama,en,25.793,TriStar Pictures-Screen Gems-Roth Films,2014-04-16,12000000.0,101332962.0,99.0,Released,6.7,667.0,Greg Kinnear
Tekken,Crime,en,25.792,Namco-Light Song Films,2010-03-20,30000000.0,967000.0,92.0,Released,5.4,580.0,Jon Foo
Midnight Sun,Romance,en,25.773,Universal Pictures-Boies/Schiller Film Group-Wrigley Pictures,2018-03-22,2800000.0,27365467.0,91.0,Released,7.8,3109.0,Bella Thorne
The Forbidden Kingdom,Action,en,25.759,Casey Silver Productions-China Film Co-Production Corporation-Huayi Brothers Pictures-Relativity Media-Lionsgate,2008-04-18,55000000.0,127906624.0,104.0,Released,6.599,1461.0,Jackie Chan
Pompeii,Action,en,25.75,Don Carmody Productions-TriStar Pictures-FilmDistrict-Impact Pictures-Constantin Film-Summit Entertainment,2014-02-18,100000000.0,117831631.0,105.0,Released,5.5,3118.0,Kit Harington
What Dreams May Come,Drama,en,25.744,Universal Pictures-PolyGram Filmed Entertainment,1998-10-02,85000000.0,71485043.0,113.0,Released,7.174,1961.0,Robin Williams
She's the Man,Comedy,en,25.73,DreamWorks Pictures-Lakeshore Entertainment-The Donners' Company,2006-03-17,20000000.0,33889159.0,105.0,Released,6.8,2604.0,Amanda Bynes
Only the Brave,Drama,en,25.726,Di Bonaventura Pictures-Black Label Media-Condé Nast Entertainment,2017-09-22,38000000.0,25754775.0,133.0,Released,7.373,1312.0,Josh Brolin
End of Days,Action,en,25.723,Beacon Communications,1999-11-24,100000000.0,211989043.0,121.0,Released,6.0,1550.0,Arnold Schwarzenegger
Diary of a Mad Black Woman,Drama,en,25.708,Diary of a Woman Inc.-BET Films-Tyler Perry Studios-Lionsgate-Reuben Cannon Productions,2005-02-25,5500000.0,50652203.0,117.0,Released,6.6,206.0,Kimberly Elise
Days of Thunder,Adventure,en,25.69,Paramount-Don Simpson/Jerry Bruckheimer Films,1990-06-27,60000000.0,157920733.0,107.0,Released,6.348,1221.0,Tom Cruise
Capitalism: A Love Story,Documentary,en,25.687,The Weinstein Company-Paramount Vantage-Overture Films-Dog Eat Dog Films,2009-09-06,20000000.0,17436509.0,128.0,Released,7.1,455.0,Michael Moore
A Thousand Words,Drama,en,25.684,Paramount-Saturn Films-Varsity Pictures-DreamWorks Pictures,2012-03-07,40000000.0,22044277.0,91.0,Released,6.1,1117.0,Eddie Murphy
The Edge of Seventeen,Comedy,en,25.679,Tang Media Productions-Gracie Films-STXfilms-Huayi Brothers Pictures,2016-11-18,9000000.0,18803648.0,105.0,Released,7.168,3890.0,Hailee Steinfeld
The Santa Clause,Fantasy,en,25.678,Walt Disney Pictures-Outlaw Productions-Hollywood Pictures,1994-11-11,22000000.0,189833357.0,97.0,Released,6.45,1721.0,Tim Allen
The Shape of Water,Drama,en,25.674,Double Dare You Productions-Fox Searchlight Pictures-Bull Productions-TSG Entertainment,2017-12-01,19500000.0,195333312.0,123.0,Released,7.2,11335.0,Sally Hawkins
Antebellum,Horror,en,25.67,Lionsgate-QC Entertainment,2020-09-02,15000000.0,7060384.0,105.0,Released,6.3,797.0,Janelle Monáe
ParaNorman,Family,en,25.668,Laika Entertainment-Focus Features,2012-08-03,60000000.0,107139399.0,90.0,Released,7.0,2288.0,Kodi Smit
The Father,Drama,en,25.668,Trademark Films-F Comme Film-Ciné-@-Embankment Films-Film4 Productions-Canal+-Ciné+-Orange Studio-Les Films du Cru-AG Studios NYC-Simon Friend Entertainment-Viewfinder-CAA Media Finance-Sony Pictures Classics,2020-12-23,6000000.0,21029340.0,96.0,Released,8.148,2491.0,Anthony Hopkins
Dragonball Evolution,Action,en,25.652,20th Century Fox-Ingenious Media-Dune Entertainment-Star Overseas-Big Screen Productions-World Film Magic,2009-03-12,30000000.0,58228460.0,85.0,Released,2.8,1776.0,Justin Chatwin
The Heartbreak Kid,Comedy,en,25.646,DreamWorks Pictures-Radar Pictures-Conundrum Entertainment-Davis Entertainment,2007-10-05,60000000.0,127766650.0,116.0,Released,5.705,1411.0,Ben Stiller
Ocean's Twelve,Thriller,en,25.641,Village Roadshow Pictures-Jerry Weintraub Productions-Section Eight-WV Films III-Warner Bros. Pictures,2004-12-09,110000000.0,362744280.0,125.0,Released,6.6,6421.0,George Clooney
American Gigolo,Crime,en,25.64,Paramount Pictures-Freddie Fields Productions,1980-02-08,5000000.0,52700000.0,117.0,Released,6.086,612.0,Richard Gere
Year One,Comedy,en,25.635,Columbia Pictures-Apatow Productions-Ocean Pictures,2009-06-18,60000000.0,62357900.0,97.0,Released,4.9,1652.0,Jack Black
Rage,Action,en,25.631,Vocal Yokels-Hannibal Pictures-Patriot Pictures,2014-05-09,15000000.0,2424381.0,98.0,Released,5.3,622.0,Nicolas Cage
Benedetta,Drama,fr,25.623,SBS Productions-Topkapi Films-Pathé-France 2 Cinéma-France 3 Cinéma-Belga Productions,2021-07-09,24350000.0,2652725.0,131.0,Released,6.701,788.0,Virginie Efira
The Hunt,Action,en,25.617,dentsu-Blumhouse Productions-White Rabbit Productions,2020-03-11,14000000.0,10550350.0,90.0,Released,6.662,2645.0,Betty Gilpin
Renegades,Thriller,en,25.609,Canal+-CB Films-Studio Babelsberg-EuropaCorp-Belga Productions-DCS,2017-08-21,66190000.0,2602149.0,105.0,Released,5.7,283.0,J.K. Simmons
American Honey,Drama,en,25.595,BFI-Maven Screen Media-Film4 Productions-Parts & Labor-Pulse Films,2016-09-30,3500000.0,2290649.0,163.0,Released,6.8,829.0,Sasha Lane
Pooh's Heffalump Movie,Family,en,25.592,Walt Disney Pictures-DisneyToon Studios,2005-02-11,20000000.0,52900000.0,68.0,Released,6.788,377.0,Jim Cummings
The Lobster,Comedy,en,25.576,Scarlet Films-Haut et Court-Eurimages-Lemming Film-Element Pictures-Nederlands Fonds voor de Film-Greek Film Centre-Faliro House Productions-Limp Films-Film4 Productions-Protagonist Pictures,2015-10-15,4000000.0,15656193.0,118.0,Released,7.0,5317.0,Colin Farrell
Robin Hood,Adventure,en,25.571,Summit Entertainment-Appian Way-Lionsgate-Thunder Road-Safehouse Pictures-TIK Films-Emperor Motion Pictures-EMG Management,2018-11-21,100000000.0,86493046.0,116.0,Released,5.9,2652.0,Taron Egerton
Couples Retreat,Comedy,en,25.571,Stuber Productions-Universal Pictures-Relativity Media-Wild West Picture Show Productions,2009-09-19,70000000.0,171844840.0,113.0,Released,5.5,1732.0,Vince Vaughn
Déjà Vu,Action,en,25.545,Jerry Bruckheimer Films-Scott Free Productions-Touchstone Pictures,2006-11-22,75000000.0,180557550.0,126.0,Released,6.826,4084.0,Denzel Washington
The Road,Adventure,en,25.545,Dimension Films-2929 Productions-Nick Wechsler Productions-Chockstone Pictures,2009-11-25,32000000.0,27635305.0,111.0,Released,7.0,3278.0,Viggo Mortensen
Captain Underpants: The First Epic Movie,Action,en,25.544,DreamWorks Animation,2017-06-01,38000000.0,125427681.0,89.0,Released,6.2,1040.0,Kevin Hart
Killer Klowns from Outer Space,Comedy,en,25.541,Sarlui / Diamant Production-Chiodo Bros. Productions,1988-05-27,1800000.0,43625095.0,88.0,Released,6.5,941.0,Grant Cramer
A Monster Calls,Drama,en,25.523,River Road Entertainment-Participant-Apaches Films-La Trini-A Monster Calls AIE-Telecinco Cinema-Summit Entertainment-Focus Features,2016-10-07,43000000.0,47309313.0,108.0,Released,7.266,3157.0,Lewis MacDougall
The Bear,Adventure,en,25.508,Renn Productions-Price-Pathé,1988-10-21,25000000.0,138241022.0,94.0,Released,7.0,392.0,Tchéky Karyo
The Dreamers,Drama,en,25.5,Fox Searchlight Pictures-Peninsula Films-Recorded Picture Company-Fiction Films,2003-09-01,15000000.0,15121165.0,112.0,Released,7.2,2516.0,Michael Pitt
Mile 22,Action,en,25.49,Huayi Brothers Pictures-Closest to the Hole Productions-Film 44-STX Entertainment-Tang Media Productions-The Hideaway Entertainment-Leverage Entertainment,2018-08-16,35000000.0,66308758.0,95.0,Released,6.2,1929.0,Mark Wahlberg
50/50,Comedy,en,25.47,Summit Entertainment-Mandate Pictures-Point Grey Pictures-Mandate International,2011-09-30,8000000.0,39187783.0,100.0,Released,7.2,3654.0,Joseph Gordon
The Babadook,Drama,en,25.464,South Australian Film Corporation-Screen Australia-Entertainment One-Smoking Gun Productions-Causeway Films,2014-05-22,2000000.0,10312540.0,94.0,Released,6.516,5400.0,Essie Davis
The Green Inferno,Horror,en,25.464,Sobras International Pictures-Worldview Entertainment-Dragonfly Entertainment-BH Tilt,2013-09-08,5000000.0,12666449.0,100.0,Released,5.7,1205.0,Lorenza Izzo
Stage Door,Comedy,en,25.462,RKO Radio Pictures,1937-10-07,952000.0,1762000.0,92.0,Released,6.9,98.0,Katharine Hepburn
The Omen,Horror,en,25.457,20th Century Fox,2006-06-06,25000000.0,119188334.0,110.0,Released,5.6,902.0,Liev Schreiber
Zookeeper,Comedy,en,25.449,Broken Road Productions-Zookeeper Productions-Hey Eddie-Happy Madison Productions,2011-07-06,80000000.0,169852759.0,102.0,Released,5.418,1444.0,Kevin James
Journey to the Center of the Earth,Adventure,en,25.436,Cooga Mooga-Joseph M. Schenck Enterprises-20th Century Fox,1959-12-15,3440000.0,10000000.0,132.0,Released,7.019,374.0,Pat Boone
Joy Ride,Mystery,en,25.429,Regency Enterprises-Bad Robot,2001-10-05,23000000.0,36642838.0,97.0,Released,6.5,976.0,Paul Walker
The Mechanic,Action,en,25.416,Nu Image-Millennium Films-CBS Films-Winkler Films-Scared Productions,2011-01-13,40000000.0,51070807.0,93.0,Released,6.5,2769.0,Jason Statham
"Silent Night, Deadly Night",Thriller,en,25.406,Slayride,1984-11-09,1065000.0,2491460.0,79.0,Released,5.9,346.0,Lilyan Chauvin
I Can Only Imagine,Music,en,25.404,LD Entertainment-City on a Hill Productions-Mission Pictures International-Imagine Rights-Kevin Downes Productions,2018-02-14,7000000.0,86026201.0,110.0,Released,7.5,402.0,J. Michael Finley
The Last of the Mohicans,Action,en,25.394,20th Century Fox-AMLF-Morgan Creek Productions,1992-08-26,40000000.0,75505856.0,112.0,Released,7.388,2605.0,Daniel Day
Space Pirate Captain Harlock,Animation,ja,25.382,Toei Animation-Marza Animation Planet,2013-09-07,30000000.0,18010317.0,115.0,Released,6.6,920.0,Shun Oguri
Rough Night,Drama,en,25.374,Paulilu Productions-Sony Pictures-Columbia Pictures-LStar Capital,2017-06-15,20000000.0,45056771.0,101.0,Released,5.7,1888.0,Scarlett Johansson
Into the Blue,Action,en,25.362,Columbia Pictures-Metro-Goldwyn-Mayer-Mandalay Pictures,2005-09-30,50000000.0,46117696.0,110.0,Released,5.872,1304.0,Paul Walker
Poolman,Mystery,en,25.353,AGC Studios-Barry Linen Motion Pictures-Brickell & Broadbridge International-CatchLight Studios-Shiny Penny-Wicious Pictures,2024-05-09,10000000.0,158933.0,100.0,Released,4.8,18.0,Chris Pine
The Man from Nowhere,Action,ko,25.345,Cinema Service-CJ Entertainment-Opus Pictures-United Pictures-Daemyung Culture Factory,2010-08-04,1255000.0,43059790.0,119.0,Released,7.7,1089.0,Won Bin
The Black Cauldron,Animation,en,25.343,Walt Disney Pictures-Walt Disney Productions-Silver Screen Partners II,1985-07-24,25000000.0,21288692.0,80.0,Released,6.5,1060.0,Grant Bardsley
Molly's Game,Drama,en,25.341,The Mark Gordon Company-Entertainment One-STX Entertainment-Pascal Pictures-Huayi Brothers Pictures,2017-09-20,30000000.0,59284015.0,140.0,Released,7.1,3303.0,Jessica Chastain
Casino,Crime,en,25.332,Universal Pictures-Syalis DA-De Fina-Cappa-Légende Films,1995-11-22,50000000.0,116112375.0,179.0,Released,8.004,5240.0,Robert De Niro
The Water Horse,Family,en,25.328,Revolution Studios-Ecosse Films-Beacon Pictures-Walden Media,2007-12-25,40000000.0,103071443.0,112.0,Released,6.4,901.0,Alexander Nathan Etel
Little,Comedy,en,25.321,Universal Pictures-Legendary Pictures-Will Packer Productions-Khalabo Ink Society,2019-04-04,20000000.0,17399000.0,108.0,Released,6.9,630.0,Regina Hall
Snatch,Crime,en,25.277,Columbia Pictures-SKA Films,2000-09-01,10000000.0,83557872.0,103.0,Released,7.8,7861.0,Jason Statham
Idiocracy,Comedy,en,25.27,20th Century Fox-Ternion Pictures,2006-09-01,30000000.0,495303.0,84.0,Released,6.3,2339.0,Luke Wilson
Dumb and Dumberer: When Harry Met Lloyd,Comedy,en,25.267,New Line Cinema,2003-04-14,19000000.0,39267515.0,85.0,Released,4.159,817.0,Derek Richardson
The Hate U Give,Crime,en,25.261,Temple Hill Entertainment,2018-10-19,23000000.0,34934009.0,133.0,Released,8.167,1957.0,Amandla Stenberg
Crazy Rich Asians,Comedy,en,25.258,Warner Bros. Pictures-Color Force-Ivanhoe Pictures,2018-08-15,30000000.0,238539198.0,121.0,Released,7.1,3218.0,Constance Wu
80 for Brady,Comedy,en,25.247,199 Productions-Watch This Ready-Fifth Season-Tempesta Films-Paramount,2023-02-03,28000000.0,29637811.0,98.0,Released,5.2,8.0,Lily Tomlin
A Time to Kill,Crime,en,25.238,Regency Enterprises-Warner Bros. Pictures,1996-07-24,40000000.0,152266007.0,149.0,Released,7.4,2270.0,Matthew McConaughey
Miss Congeniality,Comedy,en,25.203,Village Roadshow Pictures-Castle Rock Entertainment-NPV Entertainment-Fortis Films-Warner Bros. Pictures,2000-12-22,45000000.0,212000000.0,111.0,Released,6.511,3396.0,Sandra Bullock
Prom Night,Horror,en,25.198,Alliance Films-Original Film-Newmarket Films-Miramax-Screen Gems,2008-04-10,20000000.0,14800000.0,88.0,Released,5.0,693.0,Brittany Snow
Underwater,Action,en,25.18,20th Century Fox-Chernin Entertainment-TSG Entertainment,2020-01-08,50000000.0,40882928.0,95.0,Released,6.294,2651.0,Kristen Stewart
Once Upon a Time in Mexico,Action,en,25.159,Columbia Pictures-Sony Pictures-Dimension Films-Troublemaker Studios,2003-09-11,29000000.0,98185582.0,102.0,Released,6.273,1847.0,Antonio Banderas
Hairspray,Comedy,en,25.159,New Line Cinema,1988-02-26,2000000.0,6671108.0,92.0,Released,6.8,401.0,Ricki Lake
Billy Elliot,Drama,en,25.151,StudioCanal-BBC Film-Tiger Aspect-Arts Council of England-Working Title Films-Focus Features-Universal Pictures-WT² Productions,2000-09-28,5000000.0,109280263.0,110.0,Released,7.6,3624.0,Jamie Bell
Sex Drive,Comedy,en,25.149,Summit Entertainment-Goldcrest-Alloy Entertainment,2008-10-16,19000000.0,18755936.0,109.0,Released,6.312,1104.0,Josh Zuckerman
They Live,Science Fiction,en,25.148,Universal Pictures-Alive Films-Larry Franco Productions,1988-11-23,4000000.0,13008928.0,94.0,Released,7.302,2488.0,Roddy Piper
Big Eyes,Drama,en,25.14,The Weinstein Company-Silverwood Films-Electric City Entertainment-Tim Burton Productions,2014-12-24,10000000.0,28883511.0,106.0,Released,6.998,3170.0,Amy Adams
